Sample	avg_sequence_length	sequence_length	seq_len_read_count	percent_dedup	total_sequences	percent_duplicates	seq_len_bp	percent_gc
Heart_ZT0_1_R2	101.0	101.0	39655191.0	25.294439584348815	39655191.0	74.70556041565118	4005174291.0	47.0
Heart_ZT0_2_R1	101.0	101.0	32275135.0	24.223141764532944	32275135.0	75.77685823546706	3259788635.0	47.0
Heart_ZT0_2_R2	101.0	101.0	32275135.0	25.889381062076865	32275135.0	74.11061893792314	3259788635.0	47.0
Heart_ZT12_1_R1	101.0	101.0	41767679.0	17.816387160331793	41767679.0	82.1836128396682	4218535579.0	46.0
Heart_ZT12_1_R2	101.0	101.0	41767679.0	20.241474992623854	41767679.0	79.75852500737615	4218535579.0	46.0
Heart_ZT12_2_R1	150.0	150.0	15930786.0	26.0063187685209	15930786.0	73.9936812314791	2389617900.0	47.0
Heart_ZT12_2_R2	150.0	150.0	15930786.0	28.340795830557912	15930786.0	71.65920416944209	2389617900.0	47.0
Liver_ZT0_1_R1	101.0	101.0	26335934.0	20.088942001679982	26335934.0	79.91105799832002	2659929334.0	49.0
Liver_ZT0_1_R2	101.0	101.0	26335934.0	20.640289023669347	26335934.0	79.35971097633066	2659929334.0	49.0
Liver_ZT0_2_R1	101.0	101.0	39706568.0	17.70727116607282	39706568.0	82.29272883392719	4010363368.0	49.0
Liver_ZT0_2_R2	101.0	101.0	39706568.0	19.882060739527883	39706568.0	80.11793926047211	4010363368.0	49.0
Liver_ZT12_1_R1	101.0	101.0	18807831.0	20.201582585640796	18807831.0	79.7984174143592	1899590931.0	48.0
Liver_ZT12_1_R2	101.0	101.0	18807831.0	20.800384579244675	18807831.0	79.19961542075532	1899590931.0	48.0
Liver_ZT12_2_R1	101.0	101.0	13787431.0	21.627684963000554	13787431.0	78.37231503699945	1392530531.0	48.0
Liver_ZT12_2_R2	101.0	101.0	13787431.0	22.45014086200878	13787431.0	77.54985913799122	1392530531.0	48.0
